country,year,renewables_share_energy
Greece,2008,4.134
Greece,2009,5.996
Greece,2010,8.132
Greece,2011,6.399
Greece,2012,8.402
Greece,2013,12.436
Greece,2014,11.32
Greece,2015,13.46
Greece,2016,13.662
Greece,2017,12.053
Greece,2018,13.84
Greece,2019,14.172
Greece,2020,17.602
Greece,2021,20.096
Greece,2022,19.642
Greece,2023,21.645
Italy,2000,7.156
Italy,2001,7.609
Italy,2002,6.778
Italy,2003,6.339
Italy,2004,7.22
Italy,2005,6.434
Italy,2006,6.73
Italy,2007,6.432
Italy,2008,8.195
Italy,2009,10.586
Italy,2010,11.431
Italy,2011,12.443
Italy,2012,14.166
Italy,2013,17.611
Italy,2014,19.74
Italy,2015,17.51
Italy,2016,17.232
Italy,2017,16.371
Italy,2018,17.727
Italy,2019,17.865
Italy,2020,20.035
Italy,2021,18.579
Italy,2022,16.527
Italy,2023,19.278
Netherlands,2000,0.926
Netherlands,2001,0.988
Netherlands,2002,1.186
Netherlands,2003,1.164
Netherlands,2004,1.503
Netherlands,2005,2.078
Netherlands,2006,2.315
Netherlands,2007,2.417
Netherlands,2008,2.913
Netherlands,2009,3.43
Netherlands,2010,3.136
Netherlands,2011,3.662
Netherlands,2012,3.789
Netherlands,2013,3.741
Netherlands,2014,3.787
Netherlands,2015,4.195
Netherlands,2016,4.317
Netherlands,2017,5.009
Netherlands,2018,5.738
Netherlands,2019,6.987
Netherlands,2020,10.121
Netherlands,2021,11.944
Netherlands,2022,15.03
Netherlands,2023,17.788
Norway,2000,72.067
Norway,2001,68.342
Norway,2002,69.676
Norway,2003,64.094
Norway,2004,64.822
Norway,2005,70.055
Norway,2006,67.061
Norway,2007,68.992
Norway,2008,70.404
Norway,2009,68.662
Norway,2010,65.904
Norway,2011,66.968
Norway,2012,70.381
Norway,2013,68.148
Norway,2014,69.136
Norway,2015,68.888
Norway,2016,70.258
Norway,2017,70.081
Norway,2018,69.324
Norway,2019,67.99
Norway,2020,72.077
Norway,2021,72.329
Norway,2022,70.74
Norway,2023,72.091
Poland,2000,0.683
Poland,2001,0.82
Poland,2002,0.82
Poland,2003,0.675
Poland,2004,0.891
Poland,2005,1.136
Poland,2006,1.25
Poland,2007,1.573
Poland,2008,2.22
Poland,2009,3.007
Poland,2010,3.48
Poland,2011,4.078
Poland,2012,5.281
Poland,2013,5.219
Poland,2014,6.12
Poland,2015,6.617
Poland,2016,6.122
Poland,2017,6.179
Poland,2018,5.839
Poland,2019,6.975
Poland,2020,7.962
Poland,2021,7.9
Poland,2022,9.754
Poland,2023,12.154
Portugal,2000,13.042
Portugal,2001,15.589
Portugal,2002,9.7
Portugal,2003,16.956
Portugal,2004,12.04
Portugal,2005,8.08
Portugal,2006,15.515
Portugal,2007,16.121
Portugal,2008,15.213
Portugal,2009,18.914
Portugal,2010,27.482
Portugal,2011,24.613
Portugal,2012,21.804
Portugal,2013,29.319
Portugal,2014,30.906
Portugal,2015,24.607
Portugal,2016,29.398
Portugal,2017,21.442
Portugal,2018,26.869
Portugal,2019,26.367
Portugal,2020,31.74
Portugal,2021,33.307
Portugal,2022,29.567
Portugal,2023,36.043
Spain,2000,6.965
Spain,2001,9.178
Spain,2002,6.349
Spain,2003,9.698
Spain,2004,8.445
Spain,2005,6.801
Spain,2006,8.365
Spain,2007,9.328
Spain,2008,10.478
Spain,2009,13.525
Spain,2010,17.252
Spain,2011,16.014
Spain,2012,16.591
Spain,2013,20.175
Spain,2014,20.319
Spain,2015,17.743
Spain,2016,18.941
Spain,2017,16.008
Spain,2018,18.693
Spain,2019,17.812
Spain,2020,22.834
Spain,2021,23.206
Spain,2022,21.747
Spain,2023,24.919
Sweden,2000,37.867
Sweden,2001,35.345
Sweden,2002,32.206
Sweden,2003,28.3
Sweden,2004,30.32
Sweden,2005,35.005
Sweden,2006,32.864
Sweden,2007,35.202
Sweden,2008,37.133
Sweden,2009,39.756
Sweden,2010,38.467
Sweden,2011,39.769
Sweden,2012,43.46
Sweden,2013,39.28
Sweden,2014,40.779
Sweden,2015,46.678
Sweden,2016,41.982
Sweden,2017,42.704
Sweden,2018,42.644
Sweden,2019,44.814
Sweden,2020,52.196
Sweden,2021,51.12
Sweden,2022,53.494
Sweden,2023,53.89
